epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.4776,2.37812,4.1108,1.89168,0.01,0.56522,0.01058,0.00372,1.95661,3.51992,1.44144,0.00024,0.00024,0.00024
2,57.4054,2.49496,3.54676,1.70767,0.01333,0.75362,0.02882,0.00785,2.00018,3.30897,1.31719,0.000492929,0.000492929,0.000492929
3,84.6417,2.31942,3.19221,1.57474,0.01462,0.82609,0.046,0.01071,2.04217,3.18857,1.35073,0.000738503,0.000738503,0.000738503
4,110.622,2.07545,2.85718,1.40473,0.01538,0.86957,0.02764,0.00866,2.17737,3.19966,1.47812,0.000976723,0.000976723,0.000976723
5,136.698,2.36864,2.94805,1.53488,0.01564,0.88406,0.02222,0.00857,2.07215,3.1699,1.42923,0.00120759,0.00120759,0.00120759
6,163.096,2.21522,2.71459,1.45868,0.01436,0.81159,0.07365,0.0264,2.14471,3.06972,1.49122,0.0014311,0.0014311,0.0014311
7,188.357,2.09922,2.75497,1.44334,0.66074,0.22595,0.29458,0.1032,2.31748,2.65162,1.66232,0.00164726,0.00164726,0.00164726
8,212.678,1.89217,2.6502,1.38849,0.02803,0.76812,0.13326,0.04132,2.31121,2.80939,1.58566,0.001802,0.001802,0.001802
9,237.024,1.89089,2.46821,1.37704,0.02803,0.76812,0.13326,0.04132,2.31121,2.80939,1.58566,0.00177371,0.00177371,0.00177371
10,261.293,1.81366,2.41219,1.3288,0.15856,0.34783,0.171,0.05236,2.16431,2.51533,1.49205,0.00174543,0.00174543,0.00174543
11,286.588,1.98734,2.7578,1.41411,0.22168,0.44928,0.2224,0.08779,1.86688,2.27375,1.36512,0.00171714,0.00171714,0.00171714
12,310.522,1.97335,2.39841,1.34989,0.29059,0.44928,0.23259,0.08307,2.10948,2.23835,1.53697,0.00168886,0.00168886,0.00168886
13,334.951,2.09129,2.61269,1.48693,0.34132,0.42029,0.26279,0.10321,2.04328,2.1958,1.48002,0.00166057,0.00166057,0.00166057
14,359.893,1.76739,2.22953,1.33917,0.1951,0.3913,0.17305,0.06331,1.96385,2.34108,1.4144,0.00163229,0.00163229,0.00163229
15,385.258,1.96402,2.29943,1.38277,0.1951,0.3913,0.17305,0.06331,1.96385,2.34108,1.4144,0.001604,0.001604,0.001604
16,409.885,1.88842,2.37306,1.32918,0.27076,0.3913,0.21994,0.08176,1.92134,2.34165,1.40585,0.00157571,0.00157571,0.00157571
17,434.499,1.92272,2.21874,1.32822,0.29955,0.45867,0.28143,0.10712,1.99915,2.24179,1.44035,0.00154743,0.00154743,0.00154743
18,459.415,1.86205,2.18814,1.35566,0.2739,0.3913,0.28663,0.11693,1.94459,2.23335,1.4072,0.00151914,0.00151914,0.00151914
19,483.87,1.7095,2.15577,1.29809,0.35979,0.27695,0.26512,0.13594,1.83279,2.23628,1.35295,0.00149086,0.00149086,0.00149086
20,508.721,1.71778,2.27763,1.28957,0.35979,0.27695,0.26512,0.13594,1.83279,2.23628,1.35295,0.00146257,0.00146257,0.00146257
21,533.709,1.76899,2.26996,1.29209,0.46327,0.36232,0.35621,0.1827,1.76163,2.21282,1.36844,0.00143429,0.00143429,0.00143429
22,558.72,1.63752,1.90707,1.2436,0.45811,0.3913,0.37193,0.19296,1.82552,2.06165,1.43196,0.001406,0.001406,0.001406
23,582.819,1.83683,2.63381,1.39099,0.44188,0.3913,0.35923,0.17088,1.83553,2.17541,1.37167,0.00137771,0.00137771,0.00137771
24,607.782,1.80047,2.26101,1.28185,0.31699,0.4058,0.27714,0.12629,1.81391,2.21405,1.33198,0.00134943,0.00134943,0.00134943
25,633.79,1.67058,2.31908,1.29142,0.31699,0.4058,0.27714,0.12629,1.81391,2.21405,1.33198,0.00132114,0.00132114,0.00132114
26,660.853,1.6433,2.07307,1.23467,0.33996,0.44928,0.34086,0.15772,1.76012,2.08486,1.30616,0.00129286,0.00129286,0.00129286
27,685.026,1.67817,2.32717,1.25153,0.46089,0.42029,0.40232,0.21664,1.76849,2.00266,1.32357,0.00126457,0.00126457,0.00126457
28,709.429,1.57601,1.99813,1.2355,0.64992,0.36232,0.41177,0.20591,1.8233,1.95965,1.34211,0.00123629,0.00123629,0.00123629
29,733.409,1.55733,2.11283,1.24246,0.36381,0.33153,0.30174,0.12901,1.84559,2.09526,1.31649,0.001208,0.001208,0.001208
30,756.82,1.56932,2.01902,1.21364,0.3608,0.37681,0.31344,0.12972,1.83895,2.10733,1.32282,0.00117971,0.00117971,0.00117971
31,780.175,1.58319,1.9494,1.24951,0.3608,0.37681,0.31344,0.12972,1.83895,2.10733,1.32282,0.00115143,0.00115143,0.00115143
32,805.32,1.58914,1.92905,1.19228,0.44308,0.3575,0.34132,0.17564,1.79636,2.06101,1.30997,0.00112314,0.00112314,0.00112314
33,830.742,1.48968,1.87529,1.19801,0.4527,0.50725,0.36198,0.18132,1.84652,2.10058,1.36711,0.00109486,0.00109486,0.00109486
34,855.84,1.52091,1.90769,1.227,0.47239,0.42826,0.35213,0.16878,1.89394,2.14611,1.38784,0.00106657,0.00106657,0.00106657
35,880.3,1.52157,1.93151,1.19318,0.37304,0.44928,0.33292,0.1431,1.89773,2.24482,1.36363,0.00103829,0.00103829,0.00103829
36,904.912,1.5055,1.91546,1.20256,0.37304,0.44928,0.33292,0.1431,1.89773,2.24482,1.36363,0.00101,0.00101,0.00101
37,929.633,1.46999,1.81906,1.15918,0.28794,0.30435,0.25595,0.10456,1.84641,2.25403,1.34795,0.000981714,0.000981714,0.000981714
38,955.059,1.46455,1.82758,1.17147,0.38499,0.41736,0.29715,0.12018,1.89623,2.23219,1.38173,0.000953429,0.000953429,0.000953429
39,980.955,1.51249,1.70249,1.17582,0.45315,0.42033,0.34954,0.14102,1.93817,2.20405,1.41347,0.000925143,0.000925143,0.000925143
40,1006.16,1.45388,1.67039,1.15775,0.39523,0.50203,0.35411,0.16844,1.91148,2.0993,1.46067,0.000896857,0.000896857,0.000896857
41,1031.26,1.3949,1.54872,1.13393,0.39523,0.50203,0.35411,0.16844,1.91148,2.0993,1.46067,0.000868571,0.000868571,0.000868571
42,1055.62,1.41838,1.6804,1.16016,0.45318,0.44928,0.3497,0.16861,1.91318,2.17669,1.49067,0.000840286,0.000840286,0.000840286
43,1080.36,1.38963,1.66033,1.1265,0.41055,0.46377,0.32043,0.13543,1.88814,2.18494,1.45153,0.000812,0.000812,0.000812
44,1104.86,1.36512,1.68803,1.14894,0.45804,0.36232,0.3174,0.12824,1.8707,2.13763,1.41687,0.000783714,0.000783714,0.000783714
45,1129.37,1.43529,1.66688,1.16516,0.41377,0.4092,0.34356,0.15001,1.84777,2.09491,1.38961,0.000755429,0.000755429,0.000755429
46,1153.39,1.41862,1.66084,1.1392,0.57248,0.48523,0.43217,0.22251,1.72803,1.93762,1.34795,0.000727143,0.000727143,0.000727143
47,1177.68,1.36774,1.57182,1.11379,0.57248,0.48523,0.43217,0.22251,1.72803,1.93762,1.34795,0.000698857,0.000698857,0.000698857
48,1202.34,1.38274,1.54596,1.12137,0.55705,0.53623,0.44615,0.24065,1.7173,1.86513,1.36216,0.000670571,0.000670571,0.000670571
49,1226.21,1.36394,1.665,1.14427,0.56161,0.53623,0.44118,0.2219,1.72127,1.86518,1.39772,0.000642286,0.000642286,0.000642286
50,1251.04,1.42216,1.64909,1.1036,0.55816,0.46377,0.40371,0.19292,1.77242,1.94767,1.40449,0.000614,0.000614,0.000614
51,1276.18,1.28145,1.39798,1.08924,0.46572,0.46377,0.3785,0.16818,1.85101,2.03262,1.4265,0.000585714,0.000585714,0.000585714
52,1300.49,1.3008,1.38258,1.07721,0.46572,0.46377,0.3785,0.16818,1.85101,2.03262,1.4265,0.000557429,0.000557429,0.000557429
53,1325.35,1.32392,1.43567,1.10726,0.47679,0.55072,0.39318,0.16626,1.87561,2.07281,1.44137,0.000529143,0.000529143,0.000529143
54,1349.58,1.28576,1.43129,1.06863,0.39981,0.49275,0.31773,0.12944,1.94106,2.24557,1.4666,0.000500857,0.000500857,0.000500857
55,1374.42,1.19711,1.47771,1.04839,0.49358,0.4058,0.35609,0.13052,1.97016,2.24086,1.4642,0.000472571,0.000472571,0.000472571
56,1398.29,1.20573,1.35793,1.04353,0.45954,0.39437,0.31511,0.12378,1.96914,2.23882,1.44084,0.000444286,0.000444286,0.000444286
57,1422.94,1.25973,1.44079,1.07733,0.45954,0.39437,0.31511,0.12378,1.96914,2.23882,1.44084,0.000416,0.000416,0.000416
58,1447.59,1.33113,1.36094,1.06726,0.49557,0.34783,0.30055,0.11473,1.98364,2.27824,1.43858,0.000387714,0.000387714,0.000387714
59,1472.01,1.18983,1.34019,1.05939,0.42613,0.32291,0.26591,0.10822,2.00873,2.31906,1.43207,0.000359429,0.000359429,0.000359429
60,1497.74,1.32386,1.47711,1.08607,0.38776,0.4039,0.28688,0.10379,2.04999,2.37734,1.4506,0.000331143,0.000331143,0.000331143
61,1521.95,1.25926,1.4889,1.11362,0.37622,0.4058,0.28572,0.10879,2.04342,2.37994,1.43453,0.000302857,0.000302857,0.000302857
62,1546.46,1.30535,1.49772,1.09641,0.41311,0.47826,0.31777,0.13111,1.99494,2.29208,1.40925,0.000274571,0.000274571,0.000274571
63,1569.83,1.21541,1.51363,1.04817,0.41311,0.47826,0.31777,0.13111,1.99494,2.29208,1.40925,0.000246286,0.000246286,0.000246286
64,1593.94,1.2605,1.64426,1.10497,0.41478,0.47255,0.3483,0.1553,1.97631,2.23322,1.40632,0.000218,0.000218,0.000218
65,1619.22,1.19822,1.35544,1.05632,0.42341,0.53623,0.37335,0.1732,1.94174,2.18999,1.39976,0.000189714,0.000189714,0.000189714
66,1643.71,1.14483,1.41154,1.02877,0.48519,0.50725,0.38992,0.18689,1.90867,2.14324,1.38442,0.000161429,0.000161429,0.000161429
67,1667.48,1.13021,1.33435,1.03444,0.48666,0.50725,0.39894,0.20273,1.86449,2.11209,1.36211,0.000133143,0.000133143,0.000133143
68,1691.78,1.16089,1.27355,1.04902,0.48666,0.50725,0.39894,0.20273,1.86449,2.11209,1.36211,0.000104857,0.000104857,0.000104857
69,1716.37,1.20151,1.42643,1.05484,0.48508,0.46377,0.39317,0.20053,1.85413,2.11564,1.35848,7.65714e-05,7.65714e-05,7.65714e-05
70,1741.06,1.12141,1.35459,1.0492,0.49751,0.45922,0.39632,0.19692,1.85308,2.12677,1.35914,4.82857e-05,4.82857e-05,4.82857e-05
